CH1    CH2    CH3    CH4    CH5    CH6    CH7    CH8
31456    31984    28397    0    0    32536    31256    37726
31448    31990    28386    0    0    32541    31274    37724
31462    31968    28390    0    0    32535    31268    37709
31456    32004    28379    0    0    32540    31268    37727
31484    31980    28382    0    0    32545    31259    37746
31472    31992    28389    0    0    32548    31236    37717
31462    31976    28390    0    0    32552    31259    37728
31482    31972    28366    0    0    32552    31236    37730
31464    31979    28386    0    0    32544    31239    37736
31467    32004    28368    0    0    32541    31265    37722
31468    31986    28391    0    0    32559    31252    37729
31449    31984    28360    0    0    32541    31256    37712
31456    31988    28394    0    0    32548    31255    37721
31464    31981    28274    0    0    32542    31252    37783
31485    31984    28440    0    0    32554    31267    37688
31465    31982    28368    0    0    32544    31247    37716
31476    31992    28374    0    0    32546    31260    37708
30972    32647    29043    0    0    32765    30936    37550
30600    31841    29058    0    0    32612    31271    37712
31452    32694    28142    0    0    32624    31270    37671
32758    45978    28698    0    0    50119    37558    32280
33492    35725    32455    0    0    36807    34728    33748
33356    43306    30327    0    0    42000    33264    34641
34196    39720    31698    0    0    41104    34470    34311
33210    35204    32073    0    0    32156    32804    32679
32658    36416    32792    0    0    55210    31890    34532
33666    39596    31868    0    0    44152    34176    34137
36638    43280    32415    0    0    46064    33647    34212
33250    44176    32093    0    0    38349    33778    33809
35676    46912    31500    0    0    45440    33850    35268
33784    44570    32568    0    0    42622    34042    33782
32797    42289    33232    0    0    48165    33202    34382
33236    40498    32384    0    0    41684    34073    34064
34546    44614    32007    0    0    46375    35387    34464
34354    42856    32614    0    0    45648    33172    34311
34217    47416    32014    0    0    42908    34368    34253
35684    46214    32519    0    0    51236    32976    35564
33036    41831    32246    0    0    43908    33984    34108
33761    42854    32213    0    0    46206    35269    34492
35168    45480    32825    0    0    48068    33665    34590
34042    47180    32192    0    0    44487    33988    33852
34320    45460    32832    0    0    48896    32668    34811
33644    41330    31220    0    0    43668    33908    34311
34176    43463    31978    0    0    47220    36028    34232
36346    48135    32504    0    0    56446    32404    35438
33545    44312    32805    0    0    45860    34140    34159
33336    46932    32220    0    0    44200    35928    29928
35520    42432    32496    0    0    54820    33332    35404
33136    41278    32073    0    0    44276    35262    33645
33344    41066    32694    0    0    38016    35924    30826
33274    39134    31796    0    0    37732    34066    30761
33361    37306    32810    0    0    37969    32360    35062
33116    36868    32228    0    0    37968    34084    33302
33468    32370    31737    0    0    37120    33112    32402
33114    29973    29625    0    0    29646    31804    36099
32960    32313    28233    0    0    31638    32408    37784
33552    32088    28386    0    0    31941    32692    37819
33428    32176    28316    0    0    31933    32413    37830
33412    32184    28306    0    0    31955    32391    37818
33400    32193    28283    0    0    31952    32384    37808
33394    32190    28278    0    0    31952    32367    37826
33400    32194    28280    0    0    31966    32388    37837
33392    32172    28258    0    0    31968    32385    37843
33388    32191    28273    0    0    31964    32390    37816
33384    32190    28277    0    0    31964    32374    37821
33386    32194    28246    0    0    31974    32378    37820
33396    32190    28306    0    0    31972    32376    37822
33381    32192    28248    0    0    31956    32390    37831
33382    32211    28276    0    0    31965    32397    37828
33372    32189    28274    0    0    31983    32382    37834
33372    32192    28272    0    0    31976    32388    37824
33375    32192    28300    0    0    31970    32384    37850
33376    32210    28270    0    0    31981    32372    37828
33369    32188    28274    0    0    31992    32364    37838
33376    32186    28270    0    0    31994    32366    37822
33360    32192    28282    0    0    31987    32372    37814
33370    32196    28274    0    0    31990    32372    37831
33365    32214    28265    0    0    31992    32366    37812
33364    32197    28288    0    0    31986    32382    37804
33360    32199    28268    0    0    31993    32376    37828
33360    32210    28250    0    0    32002    32367    37839
33360    32204    28290    0    0    31986    32375    37849
33351    32193    28262    0    0    31998    32382    37824
33354    32199    28276    0    0    31994    32378    37838
33368    32198    28264    0    0    32007    32386    37836
33366    32203    28277    0    0    31996    32368    37831
33344    32191    28278    0    0    32000    32380    37822
33348    32190    28272    0    0    32002    32386    37830
33336    32199    28263    0    0    32013    32364    37831
33338    32208    28275    0    0    32005    32369    37845
CH1    CH2    CH3    CH4    CH5    CH6    CH7    CH8
33906    32721    28378    0    0    31136    33040    37590
33910    32725    28329    0    0    31148    33046    37620
33906    32720    28347    0    0    31144    33037    37587
33914    32717    28348    0    0    31142    33013    37590
33926    32724    28376    0    0    31146    33026    37570
33900    32743    28355    0    0    31132    33040    37576
33908    32720    28346    0    0    31141    33028    37616
33914    32722    28361    0    0    31148    33042    37590
33913    32711    28349    0    0    31148    33024    37573
33920    32721    28372    0    0    31143    33024    37575
33912    32722    28382    0    0    31146    33029    37586
33916    32716    28344    0    0    31140    33043    37606
33910    32711    28376    0    0    31152    33039    37589
33926    32717    28334    0    0    31130    33032    37570
33916    32707    28388    0    0    31140    33026    37584
33882    32775    28370    0    0    31150    33028    37559
34089    32708    28423    0    0    31148    33044    37572
33970    32678    28352    0    0    31138    33031    37600
33976    32751    28388    0    0    31165    33031    37601
33990    32690    28385    0    0    31156    33036    37581
33980    32699    28352    0    0    31148    33046    37590
33988    32696    28385    0    0    31152    33034    37603
33991    32694    28386    0    0    31144    33042    37575
33984    32690    28402    0    0    31140    33031    37592
33970    32696    28349    0    0    31143    33028    37590
33991    32700    28390    0    0    31148    33031    37584
33987    32704    28381    0    0    31145    33031    37603
33984    32707    28374    0    0    31144    33031    37588
33988    32696    28365    0    0    31148    33037    37596
